year,month,frequency,index_value,binary_index,cluster_count,total_count,similarity
1994,1,1.0,1.1416800593332777,1.0,1,1,100.0
1994,2,1.0,1.1416800593332777,1.0,1,1,100.0
1994,12,1.0,1.1416800593332777,1.0,1,1,100.0
1995,1,1.0,1.1416800593332777,1.0,1,1,100.0
1995,2,0.0,-0.8719918563411648,0.0,0,1,0.0
1995,12,0.0,-0.8719918563411648,0.0,0,1,0.0
1996,1,0.0,-0.8719918563411648,0.0,0,1,0.0
1996,2,0.0,-0.8719918563411648,0.0,0,1,0.0
1996,12,1.0,1.1416800593332777,1.0,1,1,100.0
1997,1,1.0,1.1416800593332777,1.0,1,1,100.0
1997,2,0.0,-0.8719918563411648,0.0,0,1,0.0
1997,12,0.0,-0.8719918563411648,0.0,0,1,0.0
1998,1,0.0,-0.8719918563411648,0.0,0,1,0.0
1998,2,0.0,-0.8719918563411648,0.0,0,1,0.0
1998,12,0.0,-0.8719918563411648,0.0,0,1,0.0
1999,1,0.0,-0.8719918563411648,0.0,0,1,0.0
1999,2,0.0,-0.8719918563411648,0.0,0,1,0.0
1999,12,1.0,1.1416800593332777,1.0,1,1,100.0
2000,1,1.0,1.1416800593332777,1.0,1,1,100.0
2000,2,1.0,1.1416800593332777,1.0,1,1,100.0
2000,12,1.0,1.1416800593332777,1.0,1,1,100.0
2001,1,1.0,1.1416800593332777,1.0,1,1,100.0
2001,2,1.0,1.1416800593332777,1.0,1,1,100.0
2001,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2002,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2002,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2002,12,1.0,1.1416800593332777,1.0,1,1,100.0
2003,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2003,2,1.0,1.1416800593332777,1.0,1,1,100.0
2003,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2004,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2004,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2004,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2005,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2005,2,1.0,1.1416800593332777,1.0,1,1,100.0
2005,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2006,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2006,2,1.0,1.1416800593332777,1.0,1,1,100.0
2006,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2007,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2007,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2007,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2008,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2008,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2008,12,1.0,1.1416800593332777,1.0,1,1,100.0
2009,1,1.0,1.1416800593332777,1.0,1,1,100.0
2009,2,1.0,1.1416800593332777,1.0,1,1,100.0
2009,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2010,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2010,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2010,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2011,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2011,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2011,12,1.0,1.1416800593332777,1.0,1,1,100.0
2012,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2012,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2012,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2013,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2013,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2013,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2014,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2014,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2014,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2015,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2015,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2015,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2016,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2016,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2016,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2017,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2017,2,0.0,-0.8719918563411648,0.0,0,1,0.0
2017,12,0.0,-0.8719918563411648,0.0,0,1,0.0
2018,1,0.0,-0.8719918563411648,0.0,0,1,0.0
2018,2,0.0,-0.8719918563411648,0.0,0,1,0.0
